2017-04-17 19:26:18.426:  kiekko.tk added 
2017-04-17 19:26:52.291:  www.labyrintti.com added 
2017-04-17 19:26:52.316:  www.labyrintti.com added 
2017-04-17 19:26:52.341:  www.labyrintti.com added 
2017-04-17 19:26:52.366:  www.labyrintti.com added 
2017-04-17 19:26:52.366:  protocol = http host = null
2017-04-17 19:26:52.367:   added 
2017-04-17 19:26:52.39:  www.labyrintti.com added 
2017-04-17 19:26:52.416:  www.labyrintti.com added 
2017-04-17 19:26:52.441:  www.labyrintti.com added 
2017-04-17 19:26:52.468:  www.labyrintti.com added 
2017-04-17 19:26:52.493:  www.labyrintti.com added 
2017-04-17 19:26:52.519:  www.labyrintti.com added 
2017-04-17 19:26:52.549:  www.labyrintti.com added 
2017-04-17 19:26:52.575:  www.labyrintti.com added 
2017-04-17 19:26:52.601:  www.labyrintti.com added 
2017-04-17 19:26:52.626:  www.labyrintti.com added 
2017-04-17 19:26:52.652:  www.labyrintti.com added 
2017-04-17 19:26:52.676:  www.labyrintti.com added 
2017-04-17 19:26:52.7:  www.labyrintti.com added 
2017-04-17 19:26:52.725:  www.labyrintti.com added 
2017-04-17 19:26:52.751:  www.labyrintti.com added 
2017-04-17 19:26:52.776:  www.labyrintti.com added 
2017-04-17 19:26:52.8:  www.labyrintti.com added 
2017-04-17 19:26:52.825:  www.labyrintti.com added 
2017-04-17 19:26:52.854:  www.labyrintti.com added 
2017-04-17 19:26:52.879:  www.labyrintti.com added 
2017-04-17 19:26:52.903:  www.labyrintti.com added 
2017-04-17 19:26:52.928:  www.labyrintti.com added 
2017-04-17 19:26:52.954:  www.labyrintti.com added 
2017-04-17 19:26:52.979:  www.labyrintti.com added 
2017-04-17 19:26:55.381:  www.linkmobility.com added 
2017-04-17 19:26:55.381:  www.linkmobility.com added 
2017-04-17 19:26:55.407:  www.labyrintti.com added 
2017-04-17 19:26:55.433:  www.labyrintti.com added 
2017-04-17 19:26:55.459:  www.labyrintti.com added 
2017-04-17 19:26:55.483:  www.labyrintti.com added 
2017-04-17 19:26:55.508:  www.labyrintti.com added 
2017-04-17 19:26:55.538:  www.labyrintti.com added 
2017-04-17 19:26:56.641:  m.labyrintti.com added 
2017-04-17 19:26:56.704:  my.nebula.fi added 
2017-04-17 19:26:56.802:  www-ssl.nebula.fi added 
2017-04-17 19:26:56.802:  www-ssl.nebula.fi added 
2017-04-17 19:26:56.895:  ssl.nebula.fi added 
2017-04-17 19:26:56.895:  ssl.nebula.fi added 
2017-04-17 19:26:56.977:  stats.nebula.fi added 
2017-04-17 19:26:57.202:  goo.gl added 
2017-04-17 19:26:57.415:  goo.gl added 
2017-04-17 19:26:57.527:  goo.gl added 
2017-04-17 19:26:57.527:  goo.gl added 
2017-04-17 19:27:05.02:  www.facebook.com added 
2017-04-17 19:27:05.02:  www.facebook.com added 
2017-04-17 19:27:05.693:  twitter.com added 
2017-04-17 19:27:05.693:  twitter.com added 
2017-04-17 19:27:06.608:  HTTP error fetching URL
2017-04-17 19:27:06.609:  www.linkedin.com added 
2017-04-17 19:27:08.687:  mailto:myynti@nebula.fi added 
2017-04-17 19:27:08.687:  mailto:myynti@nebula.fi added 
2017-04-17 19:27:08.719:  my.nebula.fi added 
2017-04-17 19:27:09.374:  store.nebula.fi added 
2017-04-17 19:27:09.386:  my.nebula.fi added 
2017-04-17 19:27:09.427:  digitalisaatio.nebula.fi added 
2017-04-17 19:27:09.461:  www.fiuudistus.fi added 
2017-04-17 19:27:09.504:  cloud9.nebula.fi added 
2017-04-17 19:27:09.636:  control.nebulacloud.fi added 
2017-04-17 19:27:09.831:  www.twitch.tv added 
2017-04-17 19:27:10.404:  HTTP error fetching URL
2017-04-17 19:27:10.404:  www.quantcast.com added 
2017-04-17 19:27:10.474:  tiimipelit.net
2017-04-17 19:27:10.475:  tiimipelit.net added 
2017-04-17 19:27:11.27:  kiekko.info added 
2017-04-17 19:27:11.271:  kiekko.info added 
2017-04-17 19:27:11.377:  kiekko.arkku.net added 
2017-04-17 19:27:11.394:  Crawler ended with status code 0
